river.basin,water.body,location,county,site.number,site.name,latitude,longitude,year,pH,Alk,Turb,TSS,Cond,PO4,NH3N,NO3N,Sed,Nut,Overall,VWIN.rating,rating.numeric
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2018,A,D,D,D,B,B,A,A,25,91.7,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2017,A,D,D,D,B,B,A,A,25,91.7,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2016,A,D,C,C,B,B,A,A,50,91.7,75,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2015,A,D,C,C,B,B,A,A,50,91.7,75,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2014,A,D,C,C,B,C,A,A,50,83.3,70.8,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2013,A,D,C,C,B,C,C,A,50,66.7,62.5,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2012,A,D,C,C,B,C,C,B,50,58.3,58.3,Poor,1
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2011,A,D,C,C,B,B,C,A,50,75,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2010,A,D,B,A,B,C,B,B,87.5,66.7,75,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2009,A,C,B,A,B,C,B,B,87.5,66.7,75,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2008,A,C,C,B,B,C,A,B,62.5,75,70.8,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2007,A,D,C,C,B,B,A,B,50,83.3,70.8,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2006,A,D,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2005,A,D,D,D,B,B,A,B,25,83.3,62.5,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2004,A,D,C,C,B,C,A,B,50,75,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2003,A,C,C,C,B,C,A,B,50,75,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2002,A,C,C,A,B,C,A,B,75,75,75,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2001,A,C,C,A,C,C,B,B,75,66.7,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,2000,A,C,C,A,C,C,B,B,75,66.7,66.7,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1999,A,C,C,D,C,B,B,B,37.5,75,58.3,Poor,1
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1998,D,C,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1997,D,C,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1996,D,C,B,D,B,B,A,B,50,83.3,70.8,Average,3
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1995,D,C,B,B,B,A,A,B,75,91.7,83.4,Good,4
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1994,B,C,B,B,B,A,A,B,75,91.7,83.4,Good,4
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1993,B,B,C,B,B,A,A,A,62.5,100,83.3,Good,4
French Broad,French Broad River,Brevard Rd,Buncombe,B12B,French Broad River at Brevard Rd,35.50122,-82.59257,1992,B,B,D,D,B,A,A,A,25,100,70.8,Average,3
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2022,A,D,C,D,B,B,A,A,37.5,91.7,70.9,Average,3
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2021,D,D,C,D,A,B,A,A,37.5,91.7,75,Average,3
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2020,D,D,C,D,A,B,A,A,37.5,91.7,75,Average,3
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2019,D,D,C,D,B,B,A,A,37.5,91.7,70.9,Average,3
