bottle,site_name,constituent,isotope,voltage,carbon,sacrifice_time,sacrifice_day,replicate
MSC889BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,3
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,1
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,2
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,3
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,1
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,2
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,3
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,1
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,2
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,3
